recording_id,driver,driving_style,vehicle,phone_model,country,region,tyre_pressure_code,has_v_data,has_s_data,is_paired,is_synchronized,v_file_path,s_file_path,v_rows,s_rows,v_cols,s_cols,duration_seconds,duration_minutes,start_lat,start_lon,end_lat,end_lon,min_lat,max_lat,min_lon,max_lon,distance_km_approx,max_speed_kmh,v_gps_dropouts_count,s_sensor_names,split
A1,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A1.csv,,5942.0,,24.0,2970.61,49.51,52.43163,-1.525745,51.94857,-1.202399,51.94857,52.43163,-1.612928,-1.202399,67.9,33.4,,accel+gyro+gravity+mag+orientation,train
A10,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A10.csv,,8886.0,,24.0,4442.5,74.04,52.422844,-1.52182,52.4546,-1.906197,52.42028,52.49792,-1.90678,-1.521726,51.15,97.3,,accel+gyro+gravity+mag+orientation,train
A11,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A11.csv,,5155.0,,24.0,2577.0,42.95,52.43164,-1.525722,52.15693,-1.884484,52.1567,52.431664,-1.884556,-1.491086,49.8,31.9,,accel+gyro+gravity+mag+orientation,train
A12,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A12.csv,,4673.0,,24.0,2336.0,38.93,52.15681,-1.884516,51.819008,-2.223043,51.819008,52.15681,-2.224006,-1.884516,50.41,34.3,,accel+gyro+gravity+mag+orientation,test
A13,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A13.csv,,9184.0,,24.0,4591.5,76.53,50.913532,-3.478752,50.871544,-4.43535,50.87106,51.71715,-4.48497,-2.303545,324.77,31.9,,accel+gyro+gravity+mag+orientation,val
A2,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A2.csv,,11630.0,,24.0,5814.5,96.91,52.218723,-1.502687,51.258804,-0.069686,51.257977,52.218723,-1.502687,-0.069686,166.58,125.8,,accel+gyro+gravity+mag+orientation,train
A3,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A3.csv,,11132.0,,24.0,5566.03,92.77,51.94965,-1.200867,51.161964,-0.222593,51.161964,51.94965,-1.206313,-0.222593,128.15,39.5,,accel+gyro+gravity+mag+orientation,test
A4,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A4.csv,,32829.0,,25.0,3282.8,54.71,52.185665,-1.877144,51.819263,-2.223343,51.819263,52.185726,-2.223642,-1.877144,54.59,29.1,,accel+gyro+gravity+mag+orientation,val
A5,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A5.csv,,85041.0,,24.0,8504.35,141.74,51.819317,-2.223346,50.986168,-3.217467,50.97236,51.819527,-3.218043,-2.223346,128.43,31.0,,accel+gyro+gravity+mag+orientation,train
A6,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A6.csv,,86034.0,,24.0,8537.4,142.29,50.98616,-3.217572,50.465206,-5.027401,50.41365,50.98627,-5.033129,-3.19069,179.93,29.2,,accel+gyro+gravity+mag+orientation,train
