recording,channel,raw_header,samples,pearson_r,regression_slope,sign,physical_role
S1,phone_gyro_x,GYROSCOPE Yaw,42641,0.0695390242700416,0.05305659826656635,1,Uncorrelated / Horizontal
S1,phone_gyro_y,GYROSCOPE Pitch,42641,0.9321599474490656,0.9775962786825894,1,Dominant Yaw
S1,phone_gyro_z,GYROSCOPE Roll,42641,-0.3325566609979972,-0.12982646055342154,-1,Secondary / Tilt
S2,phone_gyro_x,GYROSCOPE Yaw,75683,0.00047232708985121624,0.0005232830333669924,1,Uncorrelated / Horizontal
S2,phone_gyro_y,GYROSCOPE Pitch,75683,0.01070753054784187,0.01078305073684029,1,Uncorrelated / Horizontal
S2,phone_gyro_z,GYROSCOPE Roll,75683,-0.008167070898200046,-0.003569097020230249,-1,Uncorrelated / Horizontal
S3A,phone_gyro_x,GYROSCOPE Yaw,21780,-0.0003861423478384991,-0.00010115133104095379,-1,Uncorrelated / Horizontal
S3A,phone_gyro_y,GYROSCOPE Pitch,21780,0.2055260308774935,0.2110150719246137,1,Secondary / Tilt
S3A,phone_gyro_z,GYROSCOPE Roll,21780,-0.013807021497176424,-0.003953414555572323,-1,Uncorrelated / Horizontal
S4,phone_gyro_x,GYROSCOPE Yaw,74163,0.005899383685623571,0.005361854100383753,1,Uncorrelated / Horizontal
S4,phone_gyro_y,GYROSCOPE Pitch,74163,0.5498903017187526,0.5802727057835669,1,Secondary / Tilt
S4,phone_gyro_z,GYROSCOPE Roll,74163,-0.12748781489713168,-0.06008994784774828,-1,Uncorrelated / Horizontal
M,phone_gyro_x,GYROSCOPE Yaw,91934,0.0830406134939332,0.04997258306642105,1,Uncorrelated / Horizontal
M,phone_gyro_y,GYROSCOPE Pitch,91934,0.7984454154594077,0.8798567585863286,1,Dominant Yaw
M,phone_gyro_z,GYROSCOPE Roll,91934,-0.17483660825678043,-0.08589485563251517,-1,Uncorrelated / Horizontal
Y1,phone_gyro_x,GYROSCOPE Yaw,57862,-0.002987073553680398,-0.002331367166097714,-1,Uncorrelated / Horizontal
Y1,phone_gyro_y,GYROSCOPE Pitch,57862,0.03403187896826073,0.04005805311526137,1,Uncorrelated / Horizontal
Y1,phone_gyro_z,GYROSCOPE Roll,57862,-0.02621105917871848,-0.02012878696803535,-1,Uncorrelated / Horizontal
VTA1A,phone_gyro_x,GYROSCOPE Yaw,25202,-0.0011219723891468408,-0.001425248733371051,-1,Uncorrelated / Horizontal
VTA1A,phone_gyro_y,GYROSCOPE Pitch,25202,-0.014695929922998717,-0.06411632696395433,-1,Uncorrelated / Horizontal
VTA1A,phone_gyro_z,GYROSCOPE Roll,25202,-0.00047171495184849497,-0.0012666659294490745,-1,Uncorrelated / Horizontal
VTA2,phone_gyro_x,GYROSCOPE Yaw,10022,0.001415558081721896,0.0013504168100510264,1,Uncorrelated / Horizontal
VTA2,phone_gyro_y,GYROSCOPE Pitch,10022,0.22660004507519732,0.806862204537586,1,Secondary / Tilt
VTA2,phone_gyro_z,GYROSCOPE Roll,10022,0.0040647157050809745,0.008790853288541126,1,Uncorrelated / Horizontal
