tau_s,corr_unmasked,corr_speed_gated_v2,corr_full_gated_v3_r05
-1.0,0.6982,0.6997,0.7476
-0.95,0.7315,0.736,0.7709
-0.9,0.7294,0.7308,0.7775
-0.85,0.7631,0.7671,0.8003
-0.8,0.7597,0.7607,0.8061
-0.75,0.7936,0.7971,0.8284
-0.7,0.789,0.7895,0.8334
-0.65,0.8228,0.8256,0.855
-0.6,0.8168,0.8167,0.8594
-0.55,0.8505,0.8525,0.8803
-0.5,0.843,0.8422,0.8837
-0.45,0.8762,0.8775,0.9037
-0.4,0.8671,0.8657,0.9059
-0.35,0.8996,0.9001,0.9249
-0.3,0.8886,0.8867,0.9262
-0.25,0.9204,0.9202,0.9438
-0.2,0.9075,0.9051,0.9435
-0.15,0.9381,0.9373,0.9598
-0.1,0.9233,0.9205,0.9583
-0.05,0.9523,0.951,0.9727
0.0,0.9352,0.9322,0.9695
0.05,0.9628,0.9612,0.9824
0.1,0.9436,0.9405,0.9776
0.15,0.9697,0.968,0.9886
0.2,0.9487,0.9456,0.9824
0.25,0.9722,0.9705,0.9911
0.3,0.9486,0.9457,0.9828
0.35,0.9695,0.968,0.9891
0.4,0.9434,0.9408,0.9788
0.45,0.9626,0.9614,0.9832
0.5,0.9352,0.933,0.9716
0.55,0.952,0.9512,0.974
0.6,0.9228,0.921,0.9608
0.65,0.9375,0.9371,0.9616
0.7,0.9069,0.9055,0.9471
0.75,0.9197,0.9197,0.9463
0.8,0.888,0.8871,0.9306
0.85,0.899,0.8994,0.9286
0.9,0.8665,0.8659,0.912
0.95,0.8757,0.8763,0.909
1.0,0.8424,0.842,0.8918
